Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Badakhshan,1000000,1000000,1000000,1000000,1000000,1000000
Badghis,1000000,1000000,1000000,1000000,1000000,1000000
Baghlan,1000000,1000000,1000000,1000000,1000000,1000000
Balkh,1000000,1000000,1000000,1000000,1000000,1000000
Bamyan,1000000,1000000,1000000,1000000,1000000,1000000
Daykundi,1000000,1000000,1000000,1000000,1000000,1000000
Farah,1000000,1000000,1000000,1000000,1000000,1000000
Faryab,1000000,1000000,1000000,1000000,1000000,1000000
Ghazni,1000000,1000000,1000000,1000000,1000000,1000000
Ghor,1000000,1000000,1000000,1000000,1000000,1000000
Hilmand,1000000,1000000,1000000,1000000,1000000,1000000
Hirat,1000000,1000000,1000000,1000000,1000000,1000000
Jawzjan,1000000,1000000,1000000,1000000,1000000,1000000
Kabul,1000000,1000000,1000000,1000000,1000000,1000000
Kandahar,1000000,1000000,1000000,1000000,1000000,1000000
Kapisa,1000000,1000000,1000000,1000000,1000000,1000000
Khost,1000000,1000000,1000000,1000000,1000000,1000000
Kunar,1000000,1000000,1000000,1000000,1000000,1000000
Kunduz,1000000,1000000,1000000,1000000,1000000,1000000
Laghman,1000000,1000000,1000000,1000000,1000000,1000000
Logar,1000000,1000000,1000000,1000000,1000000,1000000
Nangarhar,1000000,1000000,1000000,1000000,1000000,1000000
Nimroz,1000000,1000000,1000000,1000000,1000000,1000000
Nuristan,1000000,1000000,1000000,1000000,1000000,1000000
Paktika,1000000,1000000,1000000,1000000,1000000,1000000
Paktya,1000000,1000000,1000000,1000000,1000000,1000000
Panjshir,1000000,1000000,1000000,1000000,1000000,1000000
Parwan,1000000,1000000,1000000,1000000,1000000,1000000
Samangan,1000000,1000000,1000000,1000000,1000000,1000000
Sari Pul,1000000,1000000,1000000,1000000,1000000,1000000
Takhar,1000000,1000000,1000000,1000000,1000000,1000000
Uruzgan,1000000,1000000,1000000,1000000,1000000,1000000
Wardak,1000000,1000000,1000000,1000000,1000000,1000000
Zabul,1000000,1000000,1000000,1000000,1000000,1000000
