Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Badakhshan,500000,500000,500000,500000,500000,500000
Badghis,500000,500000,500000,500000,500000,500000
Baghlan,500000,500000,500000,500000,500000,500000
Balkh,500000,500000,500000,500000,500000,500000
Bamyan,500000,500000,500000,500000,500000,500000
Daykundi,500000,500000,500000,500000,500000,500000
Farah,500000,500000,500000,500000,500000,500000
Faryab,500000,500000,500000,500000,500000,500000
Ghazni,500000,500000,500000,500000,500000,500000
Ghor,500000,500000,500000,500000,500000,500000
Hilmand,500000,500000,500000,500000,500000,500000
Hirat,500000,500000,500000,500000,500000,500000
Jawzjan,500000,500000,500000,500000,500000,500000
Kabul,500000,500000,500000,500000,500000,500000
Kandahar,500000,500000,500000,500000,500000,500000
Kapisa,500000,500000,500000,500000,500000,500000
Khost,500000,500000,500000,500000,500000,500000
Kunar,500000,500000,500000,500000,500000,500000
Kunduz,500000,500000,500000,500000,500000,500000
Laghman,500000,500000,500000,500000,500000,500000
Logar,500000,500000,500000,500000,500000,500000
Nangarhar,500000,500000,500000,500000,500000,500000
Nimroz,500000,500000,500000,500000,500000,500000
Nuristan,500000,500000,500000,500000,500000,500000
Paktika,500000,500000,500000,500000,500000,500000
Paktya,500000,500000,500000,500000,500000,500000
Panjshir,500000,500000,500000,500000,500000,500000
Parwan,500000,500000,500000,500000,500000,500000
Samangan,500000,500000,500000,500000,500000,500000
Sari Pul,500000,500000,500000,500000,500000,500000
Takhar,500000,500000,500000,500000,500000,500000
Uruzgan,500000,500000,500000,500000,500000,500000
Wardak,500000,500000,500000,500000,500000,500000
Zabul,500000,500000,500000,500000,500000,500000
