Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Badakhshan,50,50,50,50,50,50
Badghis,50,50,50,50,50,50
Baghlan,50,50,50,50,50,50
Balkh,50,50,50,50,50,50
Bamyan,50,50,50,50,50,50
Daykundi,50,50,50,50,50,50
Farah,50,50,50,50,50,50
Faryab,50,50,50,50,50,50
Ghazni,50,50,50,50,50,50
Ghor,50,50,50,50,50,50
Hilmand,50,50,50,50,50,50
Hirat,50,50,50,50,50,50
Jawzjan,50,50,50,50,50,50
Kabul,50,50,50,50,50,50
Kandahar,50,50,50,50,50,50
Kapisa,50,50,50,50,50,50
Khost,50,50,50,50,50,50
Kunar,50,50,50,50,50,50
Kunduz,50,50,50,50,50,50
Laghman,50,50,50,50,50,50
Logar,50,50,50,50,50,50
Nangarhar,50,50,50,50,50,50
Nimroz,50,50,50,50,50,50
Nuristan,50,50,50,50,50,50
Paktika,50,50,50,50,50,50
Paktya,50,50,50,50,50,50
Panjshir,50,50,50,50,50,50
Parwan,50,50,50,50,50,50
Samangan,50,50,50,50,50,50
Sari Pul,50,50,50,50,50,50
Takhar,50,50,50,50,50,50
Uruzgan,50,50,50,50,50,50
Wardak,50,50,50,50,50,50
Zabul,50,50,50,50,50,50
