Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Badakhshan,0,0,0,0,0,0
Badghis,0,0,0,0,0,0
Baghlan,0,0,0,0,0,0
Balkh,0,0,0,0,0,0
Bamyan,0,0,0,0,0,0
Daykundi,0,0,0,0,0,0
Farah,0,0,0,0,0,0
Faryab,0,0,0,0,0,0
Ghazni,0,0,0,0,0,0
Ghor,0,0,0,0,0,0
Hilmand,0,0,0,0,0,0
Hirat,0,0,0,0,0,0
Jawzjan,0,0,0,0,0,0
Kabul,0,0,0,0,0,0
Kandahar,0,0,0,0,0,0
Kapisa,0,0,0,0,0,0
Khost,0,0,0,0,0,0
Kunar,0,0,0,0,0,0
Kunduz,0,0,0,0,0,0
Laghman,0,0,0,0,0,0
Logar,0,0,0,0,0,0
Nangarhar,0,0,0,0,0,0
Nimroz,0,0,0,0,0,0
Nuristan,0,0,0,0,0,0
Paktika,0,0,0,0,0,0
Paktya,0,0,0,0,0,0
Panjshir,0,0,0,0,0,0
Parwan,0,0,0,0,0,0
Samangan,0,0,0,0,0,0
Sari Pul,0,0,0,0,0,0
Takhar,0,0,0,0,0,0
Uruzgan,0,0,0,0,0,0
Wardak,0,0,0,0,0,0
Zabul,0,0,0,0,0,0
