Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adrar,100,100,100,100,100,100
Aïn Defla,100,100,100,100,100,100
Aïn Témouchent,100,100,100,100,100,100
Alger,100,100,100,100,100,100
Annaba,100,100,100,100,100,100
Batna,100,100,100,100,100,100
Béchar,100,100,100,100,100,100
Béjaïa,100,100,100,100,100,100
Biskra,100,100,100,100,100,100
Blida,100,100,100,100,100,100
Bordj Bou Arréridj,100,100,100,100,100,100
Bouira,100,100,100,100,100,100
Boumerdès,100,100,100,100,100,100
Chlef,100,100,100,100,100,100
Constantine,100,100,100,100,100,100
Djelfa,100,100,100,100,100,100
El Bayadh,100,100,100,100,100,100
El Oued,100,100,100,100,100,100
El Tarf,100,100,100,100,100,100
Ghardaïa,100,100,100,100,100,100
Guelma,100,100,100,100,100,100
Illizi,100,100,100,100,100,100
Jijel,100,100,100,100,100,100
Khenchela,100,100,100,100,100,100
Laghouat,100,100,100,100,100,100
M'Sila,100,100,100,100,100,100
Mascara,100,100,100,100,100,100
Médéa,100,100,100,100,100,100
Mila,100,100,100,100,100,100
Mostaganem,100,100,100,100,100,100
Naâma,100,100,100,100,100,100
Oran,100,100,100,100,100,100
Ouargla,100,100,100,100,100,100
Oum el Bouaghi,100,100,100,100,100,100
Relizane,100,100,100,100,100,100
Saïda,100,100,100,100,100,100
Sétif,100,100,100,100,100,100
Sidi Bel Abbès,100,100,100,100,100,100
Skikda,100,100,100,100,100,100
Souk Ahras,100,100,100,100,100,100
Tamanghasset,100,100,100,100,100,100
Tébessa,100,100,100,100,100,100
Tiaret,100,100,100,100,100,100
Tindouf,100,100,100,100,100,100
Tipaza,100,100,100,100,100,100
Tissemsilt,100,100,100,100,100,100
Tizi Ouzou,100,100,100,100,100,100
Tlemcen,100,100,100,100,100,100
