Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adrar,10000,10000,10000,10000,10000,10000
Aïn Defla,10000,10000,10000,10000,10000,10000
Aïn Témouchent,10000,10000,10000,10000,10000,10000
Alger,10000,10000,10000,10000,10000,10000
Annaba,10000,10000,10000,10000,10000,10000
Batna,10000,10000,10000,10000,10000,10000
Béchar,10000,10000,10000,10000,10000,10000
Béjaïa,10000,10000,10000,10000,10000,10000
Biskra,10000,10000,10000,10000,10000,10000
Blida,10000,10000,10000,10000,10000,10000
Bordj Bou Arréridj,10000,10000,10000,10000,10000,10000
Bouira,10000,10000,10000,10000,10000,10000
Boumerdès,10000,10000,10000,10000,10000,10000
Chlef,10000,10000,10000,10000,10000,10000
Constantine,10000,10000,10000,10000,10000,10000
Djelfa,10000,10000,10000,10000,10000,10000
El Bayadh,10000,10000,10000,10000,10000,10000
El Oued,10000,10000,10000,10000,10000,10000
El Tarf,10000,10000,10000,10000,10000,10000
Ghardaïa,10000,10000,10000,10000,10000,10000
Guelma,10000,10000,10000,10000,10000,10000
Illizi,10000,10000,10000,10000,10000,10000
Jijel,10000,10000,10000,10000,10000,10000
Khenchela,10000,10000,10000,10000,10000,10000
Laghouat,10000,10000,10000,10000,10000,10000
M'Sila,10000,10000,10000,10000,10000,10000
Mascara,10000,10000,10000,10000,10000,10000
Médéa,10000,10000,10000,10000,10000,10000
Mila,10000,10000,10000,10000,10000,10000
Mostaganem,10000,10000,10000,10000,10000,10000
Naâma,10000,10000,10000,10000,10000,10000
Oran,10000,10000,10000,10000,10000,10000
Ouargla,10000,10000,10000,10000,10000,10000
Oum el Bouaghi,10000,10000,10000,10000,10000,10000
Relizane,10000,10000,10000,10000,10000,10000
Saïda,10000,10000,10000,10000,10000,10000
Sétif,10000,10000,10000,10000,10000,10000
Sidi Bel Abbès,10000,10000,10000,10000,10000,10000
Skikda,10000,10000,10000,10000,10000,10000
Souk Ahras,10000,10000,10000,10000,10000,10000
Tamanghasset,10000,10000,10000,10000,10000,10000
Tébessa,10000,10000,10000,10000,10000,10000
Tiaret,10000,10000,10000,10000,10000,10000
Tindouf,10000,10000,10000,10000,10000,10000
Tipaza,10000,10000,10000,10000,10000,10000
Tissemsilt,10000,10000,10000,10000,10000,10000
Tizi Ouzou,10000,10000,10000,10000,10000,10000
Tlemcen,10000,10000,10000,10000,10000,10000
