Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adrar,20,20,20,20,20,20
Aïn Defla,20,20,20,20,20,20
Aïn Témouchent,20,20,20,20,20,20
Alger,20,20,20,20,20,20
Annaba,20,20,20,20,20,20
Batna,20,20,20,20,20,20
Béchar,20,20,20,20,20,20
Béjaïa,20,20,20,20,20,20
Biskra,20,20,20,20,20,20
Blida,20,20,20,20,20,20
Bordj Bou Arréridj,20,20,20,20,20,20
Bouira,20,20,20,20,20,20
Boumerdès,20,20,20,20,20,20
Chlef,20,20,20,20,20,20
Constantine,20,20,20,20,20,20
Djelfa,20,20,20,20,20,20
El Bayadh,20,20,20,20,20,20
El Oued,20,20,20,20,20,20
El Tarf,20,20,20,20,20,20
Ghardaïa,20,20,20,20,20,20
Guelma,20,20,20,20,20,20
Illizi,20,20,20,20,20,20
Jijel,20,20,20,20,20,20
Khenchela,20,20,20,20,20,20
Laghouat,20,20,20,20,20,20
M'Sila,20,20,20,20,20,20
Mascara,20,20,20,20,20,20
Médéa,20,20,20,20,20,20
Mila,20,20,20,20,20,20
Mostaganem,20,20,20,20,20,20
Naâma,20,20,20,20,20,20
Oran,20,20,20,20,20,20
Ouargla,20,20,20,20,20,20
Oum el Bouaghi,20,20,20,20,20,20
Relizane,20,20,20,20,20,20
Saïda,20,20,20,20,20,20
Sétif,20,20,20,20,20,20
Sidi Bel Abbès,20,20,20,20,20,20
Skikda,20,20,20,20,20,20
Souk Ahras,20,20,20,20,20,20
Tamanghasset,20,20,20,20,20,20
Tébessa,20,20,20,20,20,20
Tiaret,20,20,20,20,20,20
Tindouf,20,20,20,20,20,20
Tipaza,20,20,20,20,20,20
Tissemsilt,20,20,20,20,20,20
Tizi Ouzou,20,20,20,20,20,20
Tlemcen,20,20,20,20,20,20
