Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bengo,500000,500000,500000,500000,500000,500000
Benguela,500000,500000,500000,500000,500000,500000
Bié,500000,500000,500000,500000,500000,500000
Cabinda,500000,500000,500000,500000,500000,500000
Cuando Cubango,500000,500000,500000,500000,500000,500000
Cuanza Norte,500000,500000,500000,500000,500000,500000
Cuanza Sul,500000,500000,500000,500000,500000,500000
Cunene,500000,500000,500000,500000,500000,500000
Huambo,500000,500000,500000,500000,500000,500000
Huíla,500000,500000,500000,500000,500000,500000
Luanda,500000,500000,500000,500000,500000,500000
Lunda Norte,500000,500000,500000,500000,500000,500000
Lunda Sul,500000,500000,500000,500000,500000,500000
Malanje,500000,500000,500000,500000,500000,500000
Moxico,500000,500000,500000,500000,500000,500000
Namibe,500000,500000,500000,500000,500000,500000
Uíge,500000,500000,500000,500000,500000,500000
Zaire,500000,500000,500000,500000,500000,500000
