Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bengo,50000,50000,50000,50000,50000,50000
Benguela,50000,50000,50000,50000,50000,50000
Bié,50000,50000,50000,50000,50000,50000
Cabinda,50000,50000,50000,50000,50000,50000
Cuando Cubango,50000,50000,50000,50000,50000,50000
Cuanza Norte,50000,50000,50000,50000,50000,50000
Cuanza Sul,50000,50000,50000,50000,50000,50000
Cunene,50000,50000,50000,50000,50000,50000
Huambo,50000,50000,50000,50000,50000,50000
Huíla,50000,50000,50000,50000,50000,50000
Luanda,50000,50000,50000,50000,50000,50000
Lunda Norte,50000,50000,50000,50000,50000,50000
Lunda Sul,50000,50000,50000,50000,50000,50000
Malanje,50000,50000,50000,50000,50000,50000
Moxico,50000,50000,50000,50000,50000,50000
Namibe,50000,50000,50000,50000,50000,50000
Uíge,50000,50000,50000,50000,50000,50000
Zaire,50000,50000,50000,50000,50000,50000
