Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bengo,500010,500098,500098,500098,500098,500098
Benguela,500020,500020,500020,500020,500020,500020
Bié,500030,500030,500030,500030,500030,500030
Cabinda,500040,500040,500040,500040,500040,500040
Cuando Cubango,500050,500050,500050,500050,500050,500050
Cuanza Norte,500060,500055,500055,500055,500055,500055
Cuanza Sul,500090,500065,500065,500065,500065,500065
Cunene,500105,500105,500105,500105,500105,500105
Huambo,500065,500065,500065,500065,500065,500065
Huíla,500015,500015,500015,500015,500015,500015
Luanda,500200,500200,500200,500200,500200,500200
Lunda Norte,500055,500055,500055,500055,500055,500055
Lunda Sul,500049,500049,500049,500049,500049,500049
Malanje,500068,500068,500068,500068,500068,500068
Moxico,500034,500034,500034,500034,500034,500034
Namibe,500065,500065,500065,500065,500065,500065
Uíge,500012,500012,500012,500012,500012,500012
Zaire,500098,500098,500098,500098,500098,500098
