Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bengo,10,98,98,98,98,98
Benguela,20,20,20,20,20,20
Bié,30,30,30,30,30,30
Cabinda,40,40,40,40,40,40
Cuando Cubango,50,50,50,50,50,50
Cuanza Norte,60,55,55,55,55,55
Cuanza Sul,90,65,65,65,65,65
Cunene,105,105,105,105,105,105
Huambo,65,65,65,65,65,65
Huíla,15,15,15,15,15,15
Luanda,200,200,200,200,200,200
Lunda Norte,55,55,55,55,55,55
Lunda Sul,49,49,49,49,49,49
Malanje,68,68,68,68,68,68
Moxico,34,34,34,34,34,34
Namibe,65,65,65,65,65,65
Uíge,12,12,12,12,12,12
Zaire,98,98,98,98,98,98
