Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Alibori,500000,500000,500000,500000,500000,500000
Atakora,500000,500000,500000,500000,500000,500000
Atlantique,500000,500000,500000,500000,500000,500000
Borgou,500000,500000,500000,500000,500000,500000
Collines,500000,500000,500000,500000,500000,500000
Donga,500000,500000,500000,500000,500000,500000
Kouffo,500000,500000,500000,500000,500000,500000
Littoral,500000,500000,500000,500000,500000,500000
Mono,500000,500000,500000,500000,500000,500000
Ouémé,500000,500000,500000,500000,500000,500000
Plateau,500000,500000,500000,500000,500000,500000
Zou,500000,500000,500000,500000,500000,500000
