Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Alibori,1000000,1000000,1000000,1000000,1000000,1000000
Atakora,1000000,1000000,1000000,1000000,1000000,1000000
Atlantique,1000000,1000000,1000000,1000000,1000000,1000000
Borgou,1000000,1000000,1000000,1000000,1000000,1000000
Collines,1000000,1000000,1000000,1000000,1000000,1000000
Donga,1000000,1000000,1000000,1000000,1000000,1000000
Kouffo,1000000,1000000,1000000,1000000,1000000,1000000
Littoral,1000000,1000000,1000000,1000000,1000000,1000000
Mono,1000000,1000000,1000000,1000000,1000000,1000000
Ouémé,1000000,1000000,1000000,1000000,1000000,1000000
Plateau,1000000,1000000,1000000,1000000,1000000,1000000
Zou,1000000,1000000,1000000,1000000,1000000,1000000
