Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Alibori,1500000,1500000,1500000,1500000,1500000,1500000
Atakora,1500000,1500000,1500000,1500000,1500000,1500000
Atlantique,1500000,1500000,1500000,1500000,1500000,1500000
Borgou,1500000,1500000,1500000,1500000,1500000,1500000
Collines,1500000,1500000,1500000,1500000,1500000,1500000
Donga,1500000,1500000,1500000,1500000,1500000,1500000
Kouffo,1500000,1500000,1500000,1500000,1500000,1500000
Littoral,1500000,1500000,1500000,1500000,1500000,1500000
Mono,1500000,1500000,1500000,1500000,1500000,1500000
Ouémé,1500000,1500000,1500000,1500000,1500000,1500000
Plateau,1500000,1500000,1500000,1500000,1500000,1500000
Zou,1500000,1500000,1500000,1500000,1500000,1500000
