Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bumthang,1000000,1000000,1000000,1000000,1000000,1000000
Chhukha,1000000,1000000,1000000,1000000,1000000,1000000
Dagana,1000000,1000000,1000000,1000000,1000000,1000000
Gasa,1000000,1000000,1000000,1000000,1000000,1000000
Haa,1000000,1000000,1000000,1000000,1000000,1000000
Lhuentse,1000000,1000000,1000000,1000000,1000000,1000000
Monggar,1000000,1000000,1000000,1000000,1000000,1000000
Paro,1000000,1000000,1000000,1000000,1000000,1000000
Pemagatshel,1000000,1000000,1000000,1000000,1000000,1000000
Punakha,1000000,1000000,1000000,1000000,1000000,1000000
Samdrupjongkhar,1000000,1000000,1000000,1000000,1000000,1000000
Samtse,1000000,1000000,1000000,1000000,1000000,1000000
Sarpang,1000000,1000000,1000000,1000000,1000000,1000000
Thimphu,1000000,1000000,1000000,1000000,1000000,1000000
Trashigang,1000000,1000000,1000000,1000000,1000000,1000000
Trongsa,1000000,1000000,1000000,1000000,1000000,1000000
Tsirang,1000000,1000000,1000000,1000000,1000000,1000000
Wangduephodrang,1000000,1000000,1000000,1000000,1000000,1000000
Yangtse,1000000,1000000,1000000,1000000,1000000,1000000
Zhemgang,1000000,1000000,1000000,1000000,1000000,1000000
