Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bumthang,500000,500000,500000,500000,500000,500000
Chhukha,500000,500000,500000,500000,500000,500000
Dagana,500000,500000,500000,500000,500000,500000
Gasa,500000,500000,500000,500000,500000,500000
Haa,500000,500000,500000,500000,500000,500000
Lhuentse,500000,500000,500000,500000,500000,500000
Monggar,500000,500000,500000,500000,500000,500000
Paro,500000,500000,500000,500000,500000,500000
Pemagatshel,500000,500000,500000,500000,500000,500000
Punakha,500000,500000,500000,500000,500000,500000
Samdrupjongkhar,500000,500000,500000,500000,500000,500000
Samtse,500000,500000,500000,500000,500000,500000
Sarpang,500000,500000,500000,500000,500000,500000
Thimphu,500000,500000,500000,500000,500000,500000
Trashigang,500000,500000,500000,500000,500000,500000
Trongsa,500000,500000,500000,500000,500000,500000
Tsirang,500000,500000,500000,500000,500000,500000
Wangduephodrang,500000,500000,500000,500000,500000,500000
Yangtse,500000,500000,500000,500000,500000,500000
Zhemgang,500000,500000,500000,500000,500000,500000
