Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Boucle du Mouhoun,10000000,10000000,10000000,10000000,10000000,10000000
Cascades,10000000,10000000,10000000,10000000,10000000,10000000
Centre-Est,10000000,10000000,10000000,10000000,10000000,10000000
Centre-Nord,10000000,10000000,10000000,10000000,10000000,10000000
Centre-Ouest,10000000,10000000,10000000,10000000,10000000,10000000
Centre-Sud,10000000,10000000,10000000,10000000,10000000,10000000
Centre,10000000,10000000,10000000,10000000,10000000,10000000
Est,10000000,10000000,10000000,10000000,10000000,10000000
Haut-Bassins,10000000,10000000,10000000,10000000,10000000,10000000
Nord,10000000,10000000,10000000,10000000,10000000,10000000
Plateau-Central,10000000,10000000,10000000,10000000,10000000,10000000
Sahel,10000000,10000000,10000000,10000000,10000000,10000000
Sud-Ouest,10000000,10000000,10000000,10000000,10000000,10000000
