Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Boucle du Mouhoun,20000000,20000000,20000000,20000000,20000000,20000000
Cascades,20000000,20000000,20000000,20000000,20000000,20000000
Centre-Est,20000000,20000000,20000000,20000000,20000000,20000000
Centre-Nord,20000000,20000000,20000000,20000000,20000000,20000000
Centre-Ouest,20000000,20000000,20000000,20000000,20000000,20000000
Centre-Sud,20000000,20000000,20000000,20000000,20000000,20000000
Centre,20000000,20000000,20000000,20000000,20000000,20000000
Est,20000000,20000000,20000000,20000000,20000000,20000000
Haut-Bassins,20000000,20000000,20000000,20000000,20000000,20000000
Nord,20000000,20000000,20000000,20000000,20000000,20000000
Plateau-Central,20000000,20000000,20000000,20000000,20000000,20000000
Sahel,20000000,20000000,20000000,20000000,20000000,20000000
Sud-Ouest,20000000,20000000,20000000,20000000,20000000,20000000
