Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Boucle du Mouhoun,1000000,1000000,1000000,1000000,1000000,1000000
Cascades,1000000,1000000,1000000,1000000,1000000,1000000
Centre-Est,1000000,1000000,1000000,1000000,1000000,1000000
Centre-Nord,1000000,1000000,1000000,1000000,1000000,1000000
Centre-Ouest,1000000,1000000,1000000,1000000,1000000,1000000
Centre-Sud,1000000,1000000,1000000,1000000,1000000,1000000
Centre,1000000,1000000,1000000,1000000,1000000,1000000
Est,1000000,1000000,1000000,1000000,1000000,1000000
Haut-Bassins,1000000,1000000,1000000,1000000,1000000,1000000
Nord,1000000,1000000,1000000,1000000,1000000,1000000
Plateau-Central,1000000,1000000,1000000,1000000,1000000,1000000
Sahel,1000000,1000000,1000000,1000000,1000000,1000000
Sud-Ouest,1000000,1000000,1000000,1000000,1000000,1000000
