Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bubanza,1000000,1000000,5000,5000,1000000,0
Bujumbura Mairie,500,1000000,500,5000,1000000,0
Bujumbura Rural,1000000,1000000,5000,5000,1000000,0
Bururi,1000000,5000,500,5000,5000,0
Cankuzo,500,1000000,5000,500,1000000,0
Cibitoke,1000000,500,5000,5000,1000000,0
Gitega,1000000,1000000,5000,5000,1000000,0
Karuzi,5000,1000000,1000000,5000,5000,0
Kayanza,1000000,1000000,500,5000,1000000,0
Kirundo,1000000,1000000,5000,5000,1000000,0
Makamba,500,1000000,5000,5000,1000000,0
Muramvya,1000000,1000000,1000000,5000,1000000,0
Muyinga,1000000,500,5000,5000,1000000,0
Mwaro,1000000,1000000,5000,5000,1000000,0
Ngozi,1000000,1000000,5000,5000,1000000,0
Rutana,1000000,1000000,5000,5000,1000000,0
Ruyigi,1000000,1000000,5000,5000,1000000,0
