Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bubanza,500000,500000,500000,500000,500000,500000
Bujumbura Mairie,500000,500000,500000,500000,500000,500000
Bujumbura Rural,500000,500000,500000,500000,500000,500000
Bururi,500000,500000,500000,500000,500000,500000
Cankuzo,500000,500000,500000,500000,500000,500000
Cibitoke,500000,500000,500000,500000,500000,500000
Gitega,500000,500000,500000,500000,500000,500000
Karuzi,500000,500000,500000,500000,500000,500000
Kayanza,500000,500000,500000,500000,500000,500000
Kirundo,500000,500000,500000,500000,500000,500000
Makamba,500000,500000,500000,500000,500000,500000
Muramvya,500000,500000,500000,500000,500000,500000
Muyinga,500000,500000,500000,500000,500000,500000
Mwaro,500000,500000,500000,500000,500000,500000
Ngozi,500000,500000,500000,500000,500000,500000
Rutana,500000,500000,500000,500000,500000,500000
Ruyigi,500000,500000,500000,500000,500000,500000
