Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adamaoua,1000000,1000000,1000000,1000000,1000000,1000000
Centre,1000000,1000000,1000000,1000000,1000000,1000000
Est,1000000,1000000,1000000,1000000,1000000,1000000
Extrême-Nord,1000000,1000000,1000000,1000000,1000000,1000000
Littoral,1000000,1000000,1000000,1000000,1000000,1000000
Nord-Ouest,1000000,1000000,1000000,1000000,1000000,1000000
Nord,1000000,1000000,1000000,1000000,1000000,1000000
Ouest,1000000,1000000,1000000,1000000,1000000,1000000
Sud-Ouest,1000000,1000000,1000000,1000000,1000000,1000000
Sud,1000000,1000000,1000000,1000000,1000000,1000000
