Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adamaoua,50000,50000,50000,50000,50000,50000
Centre,50000,50000,50000,50000,50000,50000
Est,50000,50000,50000,50000,50000,50000
Extrême-Nord,50000,50000,50000,50000,50000,50000
Littoral,50000,50000,50000,50000,50000,50000
Nord-Ouest,50000,50000,50000,50000,50000,50000
Nord,50000,50000,50000,50000,50000,50000
Ouest,50000,50000,50000,50000,50000,50000
Sud-Ouest,50000,50000,50000,50000,50000,50000
Sud,50000,50000,50000,50000,50000,50000
