Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
eventid,1000000,1000000,1000000,1000000,1000000,1000000
Bamingui-Bangoran,1000000,1000000,1000000,1000000,1000000,1000000
Bangui,1000000,1000000,1000000,1000000,1000000,1000000
Basse-Kotto,1000000,1000000,1000000,1000000,1000000,1000000
Haut-Mbomou,1000000,1000000,1000000,1000000,1000000,1000000
Haute-Kotto,1000000,1000000,1000000,1000000,1000000,1000000
Kémo,1000000,1000000,1000000,1000000,1000000,1000000
Lobaye,1000000,1000000,1000000,1000000,1000000,1000000
Mambéré-Kadéï,1000000,1000000,1000000,1000000,1000000,1000000
Mbomou,1000000,1000000,1000000,1000000,1000000,1000000
Nana-Grébizi,1000000,1000000,1000000,1000000,1000000,1000000
Nana-Mambéré,1000000,1000000,1000000,1000000,1000000,1000000
Ombella-M'Poko,1000000,1000000,1000000,1000000,1000000,1000000
Ouaka,1000000,1000000,1000000,1000000,1000000,1000000
Ouham,1000000,1000000,1000000,1000000,1000000,1000000
Ouham-Pendé,1000000,1000000,1000000,1000000,1000000,1000000
Sangha-Mbaéré,1000000,1000000,1000000,1000000,1000000,1000000
Vakaga,1000000,1000000,1000000,1000000,1000000,1000000
