Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Barh el Ghazel,1000000,1000000,1000000,1000000,1000000,1000000
Batha,1000000,1000000,1000000,1000000,1000000,1000000
Borkou,1000000,1000000,1000000,1000000,1000000,1000000
Chari-Baguirmi,1000000,1000000,1000000,1000000,1000000,1000000
Ennedi Est,1000000,1000000,1000000,1000000,1000000,1000000
Ennedi Ouest,1000000,1000000,1000000,1000000,1000000,1000000
Guéra,1000000,1000000,1000000,1000000,1000000,1000000
Hadjer-Lamis,1000000,1000000,1000000,1000000,1000000,1000000
Kanem,1000000,1000000,1000000,1000000,1000000,1000000
Lac,1000000,1000000,1000000,1000000,1000000,1000000
Logone Occidental,1000000,1000000,1000000,1000000,1000000,1000000
Logone Oriental,1000000,1000000,1000000,1000000,1000000,1000000
Mandoul,1000000,1000000,1000000,1000000,1000000,1000000
Mayo-Kebbi Est,1000000,1000000,1000000,1000000,1000000,1000000
Mayo-Kebbi Ouest,1000000,1000000,1000000,1000000,1000000,1000000
Moyen-Chari,1000000,1000000,1000000,1000000,1000000,1000000
Ouaddaï,1000000,1000000,1000000,1000000,1000000,1000000
Salamat,1000000,1000000,1000000,1000000,1000000,1000000
Sila,1000000,1000000,1000000,1000000,1000000,1000000
Tandjilé,1000000,1000000,1000000,1000000,1000000,1000000
Tibesti,1000000,1000000,1000000,1000000,1000000,1000000
Ville de N'Djamena,1000000,1000000,1000000,1000000,1000000,1000000
Wadi Fira,1000000,1000000,1000000,1000000,1000000,1000000
