Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bouenza,500000,500000,500000,500000,500000,500000
Brazzaville,500000,500000,500000,500000,500000,500000
Cuvette,500000,500000,500000,500000,500000,500000
Cuvette-Ouest,500000,500000,500000,500000,500000,500000
Kouilou,500000,500000,500000,500000,500000,500000
Lékoumou,500000,500000,500000,500000,500000,500000
Likouala,500000,500000,500000,500000,500000,500000
Niari,500000,500000,500000,500000,500000,500000
Plateaux,500000,500000,500000,500000,500000,500000
Pointe Noire,500000,500000,500000,500000,500000,500000
Pool,500000,500000,500000,500000,500000,500000
Sangha,500000,500000,500000,500000,500000,500000
