Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bouenza,1000000,1000000,1000000,1000000,1000000,1000000
Brazzaville,1000000,1000000,1000000,1000000,1000000,1000000
Cuvette,1000000,1000000,1000000,1000000,1000000,1000000
Cuvette-Ouest,1000000,1000000,1000000,1000000,1000000,1000000
Kouilou,1000000,1000000,1000000,1000000,1000000,1000000
Lékoumou,1000000,1000000,1000000,1000000,1000000,1000000
Likouala,1000000,1000000,1000000,1000000,1000000,1000000
Niari,1000000,1000000,1000000,1000000,1000000,1000000
Plateaux,1000000,1000000,1000000,1000000,1000000,1000000
Pointe Noire,1000000,1000000,1000000,1000000,1000000,1000000
Pool,1000000,1000000,1000000,1000000,1000000,1000000
Sangha,1000000,1000000,1000000,1000000,1000000,1000000
