Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bouenza,50000,50000,50000,50000,50000,50000
Brazzaville,50000,50000,50000,50000,50000,50000
Cuvette,50000,50000,50000,50000,50000,50000
Cuvette-Ouest,50000,50000,50000,50000,50000,50000
Kouilou,50000,50000,50000,50000,50000,50000
Lékoumou,50000,50000,50000,50000,50000,50000
Likouala,50000,50000,50000,50000,50000,50000
Niari,50000,50000,50000,50000,50000,50000
Plateaux,50000,50000,50000,50000,50000,50000
Pointe Noire,50000,50000,50000,50000,50000,50000
Pool,50000,50000,50000,50000,50000,50000
Sangha,50000,50000,50000,50000,50000,50000
