Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
eventid,1000000,1000000,1000000,1000000,1000000,1000000
Agnéby,1000000,1000000,1000000,1000000,1000000,1000000
Bafing,1000000,1000000,1000000,1000000,1000000,1000000
Bas-Sassandra,1000000,1000000,1000000,1000000,1000000,1000000
Denguélé,1000000,1000000,1000000,1000000,1000000,1000000
Dix-Huit Montagnes,1000000,1000000,1000000,1000000,1000000,1000000
Fromager,1000000,1000000,1000000,1000000,1000000,1000000
Haut-Sassandra,1000000,1000000,1000000,1000000,1000000,1000000
Lacs,1000000,1000000,1000000,1000000,1000000,1000000
Lagunes,1000000,1000000,1000000,1000000,1000000,1000000
Marahoué,1000000,1000000,1000000,1000000,1000000,1000000
Moyen-Cavally,1000000,1000000,1000000,1000000,1000000,1000000
Moyen-Comoé,1000000,1000000,1000000,1000000,1000000,1000000
N'zi-Comoé,1000000,1000000,1000000,1000000,1000000,1000000
Savanes,1000000,1000000,1000000,1000000,1000000,1000000
Sud-Bandama,1000000,1000000,1000000,1000000,1000000,1000000
Sud-Comoé,1000000,1000000,1000000,1000000,1000000,1000000
Vallée du Bandama,1000000,1000000,1000000,1000000,1000000,1000000
Worodougou,1000000,1000000,1000000,1000000,1000000,1000000
Zanzan,1000000,1000000,1000000,1000000,1000000,1000000
