Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Agnéby,0.0,0.0,0.0,0.0,0.0,0.0
Bafing,24.0,1124730.0,645.0,17902460.0,0.0,8754.0
Bas-Sassandra,5612.0,90.0,0.0,456.0,0.0,0.0
Denguélé,922644.0,0.0,112264.0,0.0,8475.0,0.0
Dix-Huit Montagnes,0.0,8754.0,54541.0,0.0,0.0,89475.0
Fromager,189512.0,0.0,0.0,0.0,85.0,0.0
Haut-Sassandra,0.0,0.0,0.0,1749111110.0,0.0,0.0
Lacs,0.0,1789512.0,0.0,8745.0,0.0,0.0
Lagunes,0.0,0.0,0.0,0.0,0.0,0.0
Marahoué,0.0,0.0,0.0,0.0,0.0,0.0
Moyen-Cavally,0.0,0.0,0.0,0.0,0.0,0.0
Moyen-Comoé,0.0,0.0,0.0,0.0,0.0,0.0
N'zi-Comoé,0.0,0.0,0.0,0.0,0.0,0.0
Savanes,0.0,0.0,0.0,0.0,0.0,0.0
Sud-Bandama,0.0,0.0,0.0,0.0,0.0,0.0
Sud-Comoé,0.0,0.0,0.0,0.0,0.0,0.0
Vallée du Bandama,0.0,0.0,0.0,0.0,0.0,0.0
Worodougou,0.0,0.0,0.0,0.0,0.0,0.0
Zanzan,0.0,0.0,0.0,0.0,0.0,0.0
