Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Agnéby,,,,,,
Bafing,12,564556,645,8951230,,8754
Bas-Sassandra,210,45,9845612,456,89,
Denguélé,879,,56132,,,4512
Dix-Huit Montagnes,,8754,54541,,,89475
Fromager,94756,,8754,,85,
Haut-Sassandra,,,,874555555,,
Lacs,89754,894756,,8745,,
Lagunes,,,,,,
Marahoué,,,,,,
Moyen-Cavally,,,,,,
Moyen-Comoé,,,,,,
N'zi-Comoé,,,,,,
Savanes,,,,,,
Sud-Bandama,,,,,,
Sud-Comoé,,,,,,
Vallée du Bandama,,,,,,
Worodougou,,,,,,
Zanzan,,,,,,
