Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
eventid,50000,50000,50000,50000,50000,50000
Agnéby,50000,50000,50000,50000,50000,50000
Bafing,50000,50000,50000,50000,50000,50000
Bas-Sassandra,50000,50000,50000,50000,50000,50000
Denguélé,50000,50000,50000,50000,50000,50000
Dix-Huit Montagnes,50000,50000,50000,50000,50000,50000
Fromager,50000,50000,50000,50000,50000,50000
Haut-Sassandra,50000,50000,50000,50000,50000,50000
Lacs,50000,50000,50000,50000,50000,50000
Lagunes,50000,50000,50000,50000,50000,50000
Marahoué,50000,50000,50000,50000,50000,50000
Moyen-Cavally,50000,50000,50000,50000,50000,50000
Moyen-Comoé,50000,50000,50000,50000,50000,50000
N'zi-Comoé,50000,50000,50000,50000,50000,50000
Savanes,50000,50000,50000,50000,50000,50000
Sud-Bandama,50000,50000,50000,50000,50000,50000
Sud-Comoé,50000,50000,50000,50000,50000,50000
Vallée du Bandama,50000,50000,50000,50000,50000,50000
Worodougou,50000,50000,50000,50000,50000,50000
Zanzan,50000,50000,50000,50000,50000,50000
