Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ad Daqahliyah,1000000,1000000,1000000,1000000,1000000,1000000
Al Bahr al Ahmar,1000000,1000000,1000000,1000000,1000000,1000000
Al Buhayrah,1000000,1000000,1000000,1000000,1000000,1000000
Al Fayyum,1000000,1000000,1000000,1000000,1000000,1000000
Al Gharbiyah,1000000,1000000,1000000,1000000,1000000,1000000
Al Iskandariyah,1000000,1000000,1000000,1000000,1000000,1000000
Al Isma`iliyah,1000000,1000000,1000000,1000000,1000000,1000000
Al Jizah,1000000,1000000,1000000,1000000,1000000,1000000
Al Minufiyah,1000000,1000000,1000000,1000000,1000000,1000000
Al Minya,1000000,1000000,1000000,1000000,1000000,1000000
Al Qahirah,1000000,1000000,1000000,1000000,1000000,1000000
Al Qalyubiyah,1000000,1000000,1000000,1000000,1000000,1000000
Al Uqsur,1000000,1000000,1000000,1000000,1000000,1000000
Al Wadi al Jadid,1000000,1000000,1000000,1000000,1000000,1000000
As Suways,1000000,1000000,1000000,1000000,1000000,1000000
Ash Sharqiyah,1000000,1000000,1000000,1000000,1000000,1000000
Aswan,1000000,1000000,1000000,1000000,1000000,1000000
Asyut,1000000,1000000,1000000,1000000,1000000,1000000
Bani Suwayf,1000000,1000000,1000000,1000000,1000000,1000000
Bur Sa`id,1000000,1000000,1000000,1000000,1000000,1000000
Dumyat,1000000,1000000,1000000,1000000,1000000,1000000
Janub Sina',1000000,1000000,1000000,1000000,1000000,1000000
Kafr ash Shaykh,1000000,1000000,1000000,1000000,1000000,1000000
Matrouh,1000000,1000000,1000000,1000000,1000000,1000000
Qina,1000000,1000000,1000000,1000000,1000000,1000000
Shamal Sina',1000000,1000000,1000000,1000000,1000000,1000000
Suhaj,1000000,1000000,1000000,1000000,1000000,1000000
