Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ad Daqahliyah,500000,500000,500000,500000,500000,500000
Al Bahr al Ahmar,500000,500000,500000,500000,500000,500000
Al Buhayrah,500000,500000,500000,500000,500000,500000
Al Fayyum,500000,500000,500000,500000,500000,500000
Al Gharbiyah,500000,500000,500000,500000,500000,500000
Al Iskandariyah,500000,500000,500000,500000,500000,500000
Al Isma`iliyah,500000,500000,500000,500000,500000,500000
Al Jizah,500000,500000,500000,500000,500000,500000
Al Minufiyah,500000,500000,500000,500000,500000,500000
Al Minya,500000,500000,500000,500000,500000,500000
Al Qahirah,500000,500000,500000,500000,500000,500000
Al Qalyubiyah,500000,500000,500000,500000,500000,500000
Al Uqsur,500000,500000,500000,500000,500000,500000
Al Wadi al Jadid,500000,500000,500000,500000,500000,500000
As Suways,500000,500000,500000,500000,500000,500000
Ash Sharqiyah,500000,500000,500000,500000,500000,500000
Aswan,500000,500000,500000,500000,500000,500000
Asyut,500000,500000,500000,500000,500000,500000
Bani Suwayf,500000,500000,500000,500000,500000,500000
Bur Sa`id,500000,500000,500000,500000,500000,500000
Dumyat,500000,500000,500000,500000,500000,500000
Janub Sina',500000,500000,500000,500000,500000,500000
Kafr ash Shaykh,500000,500000,500000,500000,500000,500000
Matrouh,500000,500000,500000,500000,500000,500000
Qina,500000,500000,500000,500000,500000,500000
Shamal Sina',500000,500000,500000,500000,500000,500000
Suhaj,500000,500000,500000,500000,500000,500000
