Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Alsace,1000000,1000000,1000000,1000000,1000000,1000000
Aquitaine,1000000,1000000,1000000,1000000,1000000,1000000
Auvergne,1000000,1000000,1000000,1000000,1000000,1000000
Île-de-France,1000000,1000000,1000000,1000000,1000000,1000000
Basse-Normandie,1000000,1000000,1000000,1000000,1000000,1000000
Bourgogne,1000000,1000000,1000000,1000000,1000000,1000000
Bretagne,1000000,1000000,1000000,1000000,1000000,1000000
Centre,1000000,1000000,1000000,1000000,1000000,1000000
Champagne-Ardenne,1000000,1000000,1000000,1000000,1000000,1000000
Corse,1000000,1000000,1000000,1000000,1000000,1000000
Franche-Comté,1000000,1000000,1000000,1000000,1000000,1000000
Haute-Normandie,1000000,1000000,1000000,1000000,1000000,1000000
Languedoc-Roussillon,1000000,1000000,1000000,1000000,1000000,1000000
Limousin,1000000,1000000,1000000,1000000,1000000,1000000
Lorraine,1000000,1000000,1000000,1000000,1000000,1000000
Midi-Pyrénées,1000000,1000000,1000000,1000000,1000000,1000000
Nord-Pas-de-Calais,1000000,1000000,1000000,1000000,1000000,1000000
Pays de la Loire,1000000,1000000,1000000,1000000,1000000,1000000
Picardie,1000000,1000000,1000000,1000000,1000000,1000000
Poitou-Charentes,1000000,1000000,1000000,1000000,1000000,1000000
Provence-Alpes-Côte d'Azur,1000000,1000000,1000000,1000000,1000000,1000000
Rhône-Alpes,1000000,1000000,1000000,1000000,1000000,1000000
