Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Anantapur,500000,500000,500000,500000,500000,500000
Chittoor,500000,500000,500000,500000,500000,500000
Kadapa,500000,500000,500000,500000,500000,500000
Guntur,500000,500000,500000,500000,500000,500000
Krishna,500000,500000,500000,500000,500000,500000
Kurnool,500000,500000,500000,500000,500000,500000
Sri Potti Sriramulu Nellore,500000,500000,500000,500000,500000,500000
Prakasam,500000,500000,500000,500000,500000,500000
Srikakulam,500000,500000,500000,500000,500000,500000
Visakhapatnam,500000,500000,500000,500000,500000,500000
Vizianagaram,500000,500000,500000,500000,500000,500000
East Godavari,500000,500000,500000,500000,500000,500000
West Godavari,500000,500000,500000,500000,500000,500000
