Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Anantapur,1000000,1000000,1000000,1000000,1000000,1000000
Chittoor,1000000,1000000,1000000,1000000,1000000,1000000
Kadapa,1000000,1000000,1000000,1000000,1000000,1000000
Guntur,1000000,1000000,1000000,1000000,1000000,1000000
Krishna,1000000,1000000,1000000,1000000,1000000,1000000
Kurnool,1000000,1000000,1000000,1000000,1000000,1000000
Sri Potti Sriramulu Nellore,1000000,1000000,1000000,1000000,1000000,1000000
Prakasam,1000000,1000000,1000000,1000000,1000000,1000000
Srikakulam,1000000,1000000,1000000,1000000,1000000,1000000
Visakhapatnam,1000000,1000000,1000000,1000000,1000000,1000000
Vizianagaram,1000000,1000000,1000000,1000000,1000000,1000000
East Godavari,1000000,1000000,1000000,1000000,1000000,1000000
West Godavari,1000000,1000000,1000000,1000000,1000000,1000000
