Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Alborz,500000,500000,500000,500000,500000,500000
Ardebil,500000,500000,500000,500000,500000,500000
Bushehr,500000,500000,500000,500000,500000,500000
Chahar Mahall and Bakhtiari,500000,500000,500000,500000,500000,500000
East Azarbaijan,500000,500000,500000,500000,500000,500000
Esfahan,500000,500000,500000,500000,500000,500000
Fars,500000,500000,500000,500000,500000,500000
Gilan,500000,500000,500000,500000,500000,500000
Golestan,500000,500000,500000,500000,500000,500000
Hamadan,500000,500000,500000,500000,500000,500000
Hormozgan,500000,500000,500000,500000,500000,500000
Ilam,500000,500000,500000,500000,500000,500000
Kerman,500000,500000,500000,500000,500000,500000
Kermanshah,500000,500000,500000,500000,500000,500000
Khuzestan,500000,500000,500000,500000,500000,500000
Kohgiluyeh and Buyer Ahmad,500000,500000,500000,500000,500000,500000
Kordestan,500000,500000,500000,500000,500000,500000
Lorestan,500000,500000,500000,500000,500000,500000
Markazi,500000,500000,500000,500000,500000,500000
Mazandaran,500000,500000,500000,500000,500000,500000
North Khorasan,500000,500000,500000,500000,500000,500000
Qazvin,500000,500000,500000,500000,500000,500000
Qom,500000,500000,500000,500000,500000,500000
Razavi Khorasan,500000,500000,500000,500000,500000,500000
Semnan,500000,500000,500000,500000,500000,500000
Sistan and Baluchestan,500000,500000,500000,500000,500000,500000
South Khorasan,500000,500000,500000,500000,500000,500000
Tehran,500000,500000,500000,500000,500000,500000
West Azarbaijan,500000,500000,500000,500000,500000,500000
Yazd,500000,500000,500000,500000,500000,500000
Zanjan,500000,500000,500000,500000,500000,500000
