Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Berea,1000000,1000000,1000000,1000000,1000000,1000000
Butha-Buthe,1000000,1000000,1000000,1000000,1000000,1000000
Leribe,1000000,1000000,1000000,1000000,1000000,1000000
Mafeteng,1000000,1000000,1000000,1000000,1000000,1000000
Maseru,1000000,1000000,1000000,1000000,1000000,1000000
Mohale's Hoek,1000000,1000000,1000000,1000000,1000000,1000000
Mokhotlong,1000000,1000000,1000000,1000000,1000000,1000000
Qacha's Nek,1000000,1000000,1000000,1000000,1000000,1000000
Quthing,1000000,1000000,1000000,1000000,1000000,1000000
Thaba-Tseka,1000000,1000000,1000000,1000000,1000000,1000000
