Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Berea,1000000,1000000,5000,5000,1000000,0
Butha-Buthe,500,1000000,500,5000,1000000,0
Leribe,1000000,1000000,5000,5000,1000000,0
Mafeteng,1000000,5000,500,5000,5000,0
Maseru,500,1000000,5000,500,1000000,0
Mohale's Hoek,1000000,500,5000,5000,1000000,0
Mokhotlong,1000000,1000000,5000,5000,1000000,0
Qacha's Nek,5000,1000000,1000000,5000,5000,0
Quthing,1000000,1000000,500,5000,1000000,0
Thaba-Tseka,1000000,1000000,5000,5000,1000000,0
