Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Berea,3000000,3000000,3000000,3000000,3000000,3000000
Butha-Buthe,3000000,3000000,3000000,3000000,3000000,3000000
Leribe,3000000,3000000,3000000,3000000,3000000,3000000
Mafeteng,3000000,3000000,3000000,3000000,3000000,3000000
Maseru,3000000,3000000,3000000,3000000,3000000,3000000
Mohale's Hoek,3000000,3000000,3000000,3000000,3000000,3000000
Mokhotlong,3000000,3000000,3000000,3000000,3000000,3000000
Qacha's Nek,3000000,3000000,3000000,3000000,3000000,3000000
Quthing,3000000,3000000,3000000,3000000,3000000,3000000
Thaba-Tseka,3000000,3000000,3000000,3000000,3000000,3000000
