Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Berea,50000,50000,50000,50000,50000,50000
Butha-Buthe,50000,50000,50000,50000,50000,50000
Leribe,50000,50000,50000,50000,50000,50000
Mafeteng,50000,50000,50000,50000,50000,50000
Maseru,50000,50000,50000,50000,50000,50000
Mohale's Hoek,50000,50000,50000,50000,50000,50000
Mokhotlong,50000,50000,50000,50000,50000,50000
Qacha's Nek,50000,50000,50000,50000,50000,50000
Quthing,50000,50000,50000,50000,50000,50000
Thaba-Tseka,50000,50000,50000,50000,50000,50000
