Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Berea,500000,500000,500000,500000,500000,500000
Butha-Buthe,500000,500000,500000,500000,500000,500000
Leribe,500000,500000,500000,500000,500000,500000
Mafeteng,500000,500000,500000,500000,500000,500000
Maseru,500000,500000,500000,500000,500000,500000
Mohale's Hoek,500000,500000,500000,500000,500000,500000
Mokhotlong,500000,500000,500000,500000,500000,500000
Qacha's Nek,500000,500000,500000,500000,500000,500000
Quthing,500000,500000,500000,500000,500000,500000
Thaba-Tseka,500000,500000,500000,500000,500000,500000
