Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ajdabiya,500000,500000,500000,500000,500000,500000
Al Butnan,500000,500000,500000,500000,500000,500000
Al Hizam Al Akhdar,500000,500000,500000,500000,500000,500000
Al Jabal al Akhdar,500000,500000,500000,500000,500000,500000
Al Jifarah,500000,500000,500000,500000,500000,500000
Al Jufrah,500000,500000,500000,500000,500000,500000
Al Kufrah,500000,500000,500000,500000,500000,500000
Al Marj,500000,500000,500000,500000,500000,500000
Al Marqab,500000,500000,500000,500000,500000,500000
Al Qubbah,500000,500000,500000,500000,500000,500000
Al Wahah,500000,500000,500000,500000,500000,500000
An Nuqat al Khams,500000,500000,500000,500000,500000,500000
Ash Shati',500000,500000,500000,500000,500000,500000
Az Zawiyah,500000,500000,500000,500000,500000,500000
Bani Walid,500000,500000,500000,500000,500000,500000
Benghazi,500000,500000,500000,500000,500000,500000
Darnah,500000,500000,500000,500000,500000,500000
Ghadamis,500000,500000,500000,500000,500000,500000
Gharyan,500000,500000,500000,500000,500000,500000
Ghat,500000,500000,500000,500000,500000,500000
Misratah,500000,500000,500000,500000,500000,500000
Mizdah,500000,500000,500000,500000,500000,500000
Murzuq,500000,500000,500000,500000,500000,500000
Nalut,500000,500000,500000,500000,500000,500000
Sabha,500000,500000,500000,500000,500000,500000
Sabratah Surman,500000,500000,500000,500000,500000,500000
Surt,500000,500000,500000,500000,500000,500000
Tajura' wa an Nawahi al Arba,500000,500000,500000,500000,500000,500000
Tarabulus,500000,500000,500000,500000,500000,500000
Tarhunah-Masallatah,500000,500000,500000,500000,500000,500000
Wadi Al Hayat,500000,500000,500000,500000,500000,500000
Yafran-Jadu,500000,500000,500000,500000,500000,500000
