Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ajdabiya,1000000,1000000,1000000,1000000,1000000,1000000
Al Butnan,1000000,1000000,1000000,1000000,1000000,1000000
Al Hizam Al Akhdar,1000000,1000000,1000000,1000000,1000000,1000000
Al Jabal al Akhdar,1000000,1000000,1000000,1000000,1000000,1000000
Al Jifarah,1000000,1000000,1000000,1000000,1000000,1000000
Al Jufrah,1000000,1000000,1000000,1000000,1000000,1000000
Al Kufrah,1000000,1000000,1000000,1000000,1000000,1000000
Al Marj,1000000,1000000,1000000,1000000,1000000,1000000
Al Marqab,1000000,1000000,1000000,1000000,1000000,1000000
Al Qubbah,1000000,1000000,1000000,1000000,1000000,1000000
Al Wahah,1000000,1000000,1000000,1000000,1000000,1000000
An Nuqat al Khams,1000000,1000000,1000000,1000000,1000000,1000000
Ash Shati',1000000,1000000,1000000,1000000,1000000,1000000
Az Zawiyah,1000000,1000000,1000000,1000000,1000000,1000000
Bani Walid,1000000,1000000,1000000,1000000,1000000,1000000
Benghazi,1000000,1000000,1000000,1000000,1000000,1000000
Darnah,1000000,1000000,1000000,1000000,1000000,1000000
Ghadamis,1000000,1000000,1000000,1000000,1000000,1000000
Gharyan,1000000,1000000,1000000,1000000,1000000,1000000
Ghat,1000000,1000000,1000000,1000000,1000000,1000000
Misratah,1000000,1000000,1000000,1000000,1000000,1000000
Mizdah,1000000,1000000,1000000,1000000,1000000,1000000
Murzuq,1000000,1000000,1000000,1000000,1000000,1000000
Nalut,1000000,1000000,1000000,1000000,1000000,1000000
Sabha,1000000,1000000,1000000,1000000,1000000,1000000
Sabratah Surman,1000000,1000000,1000000,1000000,1000000,1000000
Surt,1000000,1000000,1000000,1000000,1000000,1000000
Tajura' wa an Nawahi al Arba,1000000,1000000,1000000,1000000,1000000,1000000
Tarabulus,1000000,1000000,1000000,1000000,1000000,1000000
Tarhunah-Masallatah,1000000,1000000,1000000,1000000,1000000,1000000
Wadi Al Hayat,1000000,1000000,1000000,1000000,1000000,1000000
Yafran-Jadu,1000000,1000000,1000000,1000000,1000000,1000000
