Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ajdabiya,50000,50000,50000,50000,50000,50000
Al Butnan,50000,50000,50000,50000,50000,50000
Al Hizam Al Akhdar,50000,50000,50000,50000,50000,50000
Al Jabal al Akhdar,50000,50000,50000,50000,50000,50000
Al Jifarah,50000,50000,50000,50000,50000,50000
Al Jufrah,50000,50000,50000,50000,50000,50000
Al Kufrah,50000,50000,50000,50000,50000,50000
Al Marj,50000,50000,50000,50000,50000,50000
Al Marqab,50000,50000,50000,50000,50000,50000
Al Qubbah,50000,50000,50000,50000,50000,50000
Al Wahah,50000,50000,50000,50000,50000,50000
An Nuqat al Khams,50000,50000,50000,50000,50000,50000
Ash Shati',50000,50000,50000,50000,50000,50000
Az Zawiyah,50000,50000,50000,50000,50000,50000
Bani Walid,50000,50000,50000,50000,50000,50000
Benghazi,50000,50000,50000,50000,50000,50000
Darnah,50000,50000,50000,50000,50000,50000
Ghadamis,50000,50000,50000,50000,50000,50000
Gharyan,50000,50000,50000,50000,50000,50000
Ghat,50000,50000,50000,50000,50000,50000
Misratah,50000,50000,50000,50000,50000,50000
Mizdah,50000,50000,50000,50000,50000,50000
Murzuq,50000,50000,50000,50000,50000,50000
Nalut,50000,50000,50000,50000,50000,50000
Sabha,50000,50000,50000,50000,50000,50000
Sabratah Surman,50000,50000,50000,50000,50000,50000
Surt,50000,50000,50000,50000,50000,50000
Tajura' wa an Nawahi al Arba,50000,50000,50000,50000,50000,50000
Tarabulus,50000,50000,50000,50000,50000,50000
Tarhunah-Masallatah,50000,50000,50000,50000,50000,50000
Wadi Al Hayat,50000,50000,50000,50000,50000,50000
Yafran-Jadu,50000,50000,50000,50000,50000,50000
