Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adrar,500000,500000,500000,500000,500000,500000
Assaba,500000,500000,500000,500000,500000,500000
Brakna,500000,500000,500000,500000,500000,500000
Dakhlet Nouadhibou,500000,500000,500000,500000,500000,500000
Gorgol,500000,500000,500000,500000,500000,500000
Guidimaka,500000,500000,500000,500000,500000,500000
Hodh ech Chargui,500000,500000,500000,500000,500000,500000
Hodh el Gharbi,500000,500000,500000,500000,500000,500000
Inchiri,500000,500000,500000,500000,500000,500000
Nouakchott,500000,500000,500000,500000,500000,500000
Tagant,500000,500000,500000,500000,500000,500000
Tiris Zemmour,500000,500000,500000,500000,500000,500000
Trarza,500000,500000,500000,500000,500000,500000
