Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adrar,1000000,1000000,1000000,1000000,1000000,1000000
Assaba,1000000,1000000,1000000,1000000,1000000,1000000
Brakna,1000000,1000000,1000000,1000000,1000000,1000000
Dakhlet Nouadhibou,1000000,1000000,1000000,1000000,1000000,1000000
Gorgol,1000000,1000000,1000000,1000000,1000000,1000000
Guidimaka,1000000,1000000,1000000,1000000,1000000,1000000
Hodh ech Chargui,1000000,1000000,1000000,1000000,1000000,1000000
Hodh el Gharbi,1000000,1000000,1000000,1000000,1000000,1000000
Inchiri,1000000,1000000,1000000,1000000,1000000,1000000
Nouakchott,1000000,1000000,1000000,1000000,1000000,1000000
Tagant,1000000,1000000,1000000,1000000,1000000,1000000
Tiris Zemmour,1000000,1000000,1000000,1000000,1000000,1000000
Trarza,1000000,1000000,1000000,1000000,1000000,1000000
