Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adrar,50000,50000,50000,50000,50000,50000
Assaba,50000,50000,50000,50000,50000,50000
Brakna,50000,50000,50000,50000,50000,50000
Dakhlet Nouadhibou,50000,50000,50000,50000,50000,50000
Gorgol,50000,50000,50000,50000,50000,50000
Guidimaka,50000,50000,50000,50000,50000,50000
Hodh ech Chargui,50000,50000,50000,50000,50000,50000
Hodh el Gharbi,50000,50000,50000,50000,50000,50000
Inchiri,50000,50000,50000,50000,50000,50000
Nouakchott,50000,50000,50000,50000,50000,50000
Tagant,50000,50000,50000,50000,50000,50000
Tiris Zemmour,50000,50000,50000,50000,50000,50000
Trarza,50000,50000,50000,50000,50000,50000
