Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Cabo Delgado,500000,500000,500000,500000,500000,500000
Gaza,500000,500000,500000,500000,500000,500000
Inhambane,500000,500000,500000,500000,500000,500000
Manica,500000,500000,500000,500000,500000,500000
Maputo,500000,500000,500000,500000,500000,500000
Maputo City,500000,500000,500000,500000,500000,500000
Nampula,500000,500000,500000,500000,500000,500000
Nassa,500000,500000,500000,500000,500000,500000
Sofala,500000,500000,500000,500000,500000,500000
Tete,500000,500000,500000,500000,500000,500000
Zambezia,500000,500000,500000,500000,500000,500000
