Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Cabo Delgado,50000,50000,50000,50000,50000,50000
Gaza,50000,50000,50000,50000,50000,50000
Inhambane,50000,50000,50000,50000,50000,50000
Manica,50000,50000,50000,50000,50000,50000
Maputo,50000,50000,50000,50000,50000,50000
Maputo City,50000,50000,50000,50000,50000,50000
Nampula,50000,50000,50000,50000,50000,50000
Nassa,50000,50000,50000,50000,50000,50000
Sofala,50000,50000,50000,50000,50000,50000
Tete,50000,50000,50000,50000,50000,50000
Zambezia,50000,50000,50000,50000,50000,50000
