Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ayeyarwady,1000000,1000000,1000000,1000000,1000000,1000000
Bago,1000000,1000000,1000000,1000000,1000000,1000000
Chin,1000000,1000000,1000000,1000000,1000000,1000000
Kachin,1000000,1000000,1000000,1000000,1000000,1000000
Kayah,1000000,1000000,1000000,1000000,1000000,1000000
Kayin,1000000,1000000,1000000,1000000,1000000,1000000
Magway,1000000,1000000,1000000,1000000,1000000,1000000
Mandalay,1000000,1000000,1000000,1000000,1000000,1000000
Mon,1000000,1000000,1000000,1000000,1000000,1000000
Naypyitaw,1000000,1000000,1000000,1000000,1000000,1000000
Rakhine,1000000,1000000,1000000,1000000,1000000,1000000
Sagaing,1000000,1000000,1000000,1000000,1000000,1000000
Shan,1000000,1000000,1000000,1000000,1000000,1000000
Tanintharyi,1000000,1000000,1000000,1000000,1000000,1000000
Yangon,1000000,1000000,1000000,1000000,1000000,1000000
