Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
!Karas,50000,50000,50000,50000,50000,50000
Erongo,50000,50000,50000,50000,50000,50000
Hardap,50000,50000,50000,50000,50000,50000
Kavango,50000,50000,50000,50000,50000,50000
Khomas,50000,50000,50000,50000,50000,50000
Kunene,50000,50000,50000,50000,50000,50000
Ohangwena,50000,50000,50000,50000,50000,50000
Omaheke,50000,50000,50000,50000,50000,50000
Omusati,50000,50000,50000,50000,50000,50000
Oshana,50000,50000,50000,50000,50000,50000
Oshikoto,50000,50000,50000,50000,50000,50000
Otjozondjupa,50000,50000,50000,50000,50000,50000
Zambezi,50000,50000,50000,50000,50000,50000
