Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Abia,,,,,,
Adamawa,,,12,12,,
Akwa Ibom,1212,,12,,1111,
Anambra,,121,12,12,,4242
Bauchi,,,,12,,
Bayelsa,,,,,,
Benue,,,,,,
Borno,,,,,,
Cross River,,,,,,
Delta,,,,,,
Ebonyi,,,,,,
Edo,,,,,,
Ekiti,,,,,,
Enugu,,,,,,
Federal Capital Territory,,,,,,
Gombe,,,,,,
Imo,,,,,,
Jigawa,,,,,,
Kaduna,,,,,,
Kano,,,,,,
Katsina,,,,,,
Kebbi,,,,,,
Kogi,,,,,,
Kwara,,,,,,
Lagos,,,,,,
Nassarawa,,,,,,
Niger,,,,,,
Ogun,,,,,,
Ondo,,,,,,
Osun,,,,,,
Oyo,,,,,,
Plateau,,,,,,
Rivers,,,,,,
Sokoto,,,,,,
Taraba,,,,,,
Water body,,,,,,
Yobe,,,,,,
Zamfara,,,,,,
