Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
As.Suwaiq,4000000,4000000,12000,4000000,4000000,12000
Bahla,4000000,4000000,12000,4000000,4000000,12000
Barka,4000000,4000000,12000,4000000,4000000,12000
Buraimi,4000000,4000000,12000,4000000,4000000,12000
Dhofar,4000000,4000000,12000,4000000,4000000,12000
Ibra,4000000,4000000,12000,4000000,4000000,12000
Ibri,4000000,4000000,12000,4000000,4000000,12000
Izki,4000000,4000000,12000,4000000,4000000,12000
Jalan.Bani,4000000,4000000,12000,4000000,4000000,12000
Khabourah,4000000,4000000,12000,4000000,4000000,12000
Khasab,4000000,4000000,12000,4000000,4000000,12000
Muscat,4000000,4000000,12000,4000000,4000000,12000
Nizwa,4000000,4000000,12000,4000000,4000000,12000
others,4000000,4000000,12000,4000000,4000000,12000
Quriyat,4000000,4000000,12000,4000000,4000000,12000
Rustaq,4000000,4000000,12000,4000000,4000000,12000
Saham,4000000,4000000,12000,4000000,4000000,12000
Samail,4000000,4000000,12000,4000000,4000000,12000
Seeb,4000000,4000000,12000,4000000,4000000,12000
Shinas,4000000,4000000,12000,4000000,4000000,12000
Sohar,4000000,4000000,12000,4000000,4000000,12000
Sur,4000000,4000000,12000,4000000,4000000,12000
Thumrait,4000000,4000000,12000,4000000,4000000,12000
Al.Amerat,4000000,4000000,12000,4000000,4000000,12000
Al.Ghobra,4000000,4000000,12000,4000000,4000000,12000
Al.Khoud,4000000,4000000,12000,4000000,4000000,12000
Al.Mawaleh,4000000,4000000,12000,4000000,4000000,12000
Al.Mazounah,4000000,4000000,12000,4000000,4000000,12000
Al.Saadah,4000000,4000000,12000,4000000,4000000,12000
duqm,4000000,4000000,12000,4000000,4000000,12000
haima,4000000,4000000,12000,4000000,4000000,12000
Rusayl,4000000,4000000,12000,4000000,4000000,12000
Salalah,4000000,4000000,12000,4000000,4000000,12000
sinaw,4000000,4000000,12000,4000000,4000000,12000
Taqah,4000000,4000000,12000,4000000,4000000,12000
