Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adrar,2334,,,,,
Aïn Defla,,,,,,
Aïn Témouchent,43647,,,,,
Alger,,76978,,,,
Annaba,,,,568756,,
Batna,,,,,,
Béchar,,,5685,,,
Béjaïa,,57658,,,,4568678
Biskra,,,,,456754,
Blida,,,,,,
Bordj Bou Arréridj,,,,,,
Bouira,,,,,,
Boumerdès,,,457567,,,
Chlef,,,,,,
Constantine,3464578,,,,,
Djelfa,,,,,,
El Bayadh,,,,,,
El Oued,,,,,54684678,
El Tarf,,,45675454,,,
Ghardaïa,,,,,,
Guelma,,,,,,
Illizi,,,,,,
Jijel,,,,,867,
Khenchela,456,,456,,,
Laghouat,,,,,,
M'Sila,,,,,8,
Mascara,,,,,,
Médéa,,,567,,,
Mila,,,,,,
Mostaganem,,,,,,
Naâma,,,,,,
Oran,,,,,,
Ouargla,,,,,,
Oum el Bouaghi,,,,,,
Relizane,,,,,,
Saïda,,,,,,
Sétif,,,,,,
Sidi Bel Abbès,,,,,,
Skikda,,,,,,
Souk Ahras,,,,,,
Tamanghasset,,,,,,
Tébessa,,,,,,
Tiaret,,,,,,
Tindouf,,,,,,
Tipaza,,,,,,
Tissemsilt,,,,,,
Tizi Ouzou,,,,,,
Tlemcen,,,,,,
