Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
As.Suwaiq,122,,,,,
Bahla,23,231,3213,,,
Barka,,,,32131,,
Buraimi,,,,,321321,323131
Dhofar,,,,,,
Ibra,,,,,,
Ibri,,,,,,
Izki,,,,,,
Jalan.Bani,,,,,,
Khabourah,,,,,,
Khasab,,,,,,
Muscat,,,,,,
Nizwa,,,,,,
others,,,,,,
Quriyat,,,,,,
Rustaq,,,,,,
Saham,,,,,,
Samail,,,,,,
Seeb,,,,,,
Shinas,,,,,,
Sohar,,,,,,
Sur,,,,,,
Thumrait,,,,,,
Al.Amerat,,,,,,
Al.Ghobra,,,,,,
Al.Khoud,,,,,,
Al.Mawaleh,,,,,,
Al.Mazounah,,,,,,
Al.Saadah,,,,,,
duqm,,,,,,
haima,,,,,,
Rusayl,,,,,,
Salalah,,,,,,
sinaw,,,,,,
Taqah,,,,,,
