Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
As.Suwaiq,500000,500000,500000,500000,500000,500000
Bahla,500000,500000,500000,500000,500000,500000
Barka,500000,500000,500000,500000,500000,500000
Buraimi,500000,500000,500000,500000,500000,500000
Dhofar,500000,500000,500000,500000,500000,500000
Ibra,500000,500000,500000,500000,500000,500000
Ibri,500000,500000,500000,500000,500000,500000
Izki,500000,500000,500000,500000,500000,500000
Jalan.Bani,500000,500000,500000,500000,500000,500000
Khabourah,500000,500000,500000,500000,500000,500000
Khasab,500000,500000,500000,500000,500000,500000
Muscat,500000,500000,500000,500000,500000,500000
Nizwa,500000,500000,500000,500000,500000,500000
others,500000,500000,500000,500000,500000,500000
Quriyat,500000,500000,500000,500000,500000,500000
Rustaq,500000,500000,500000,500000,500000,500000
Saham,500000,500000,500000,500000,500000,500000
Samail,500000,500000,500000,500000,500000,500000
Seeb,500000,500000,500000,500000,500000,500000
Shinas,500000,500000,500000,500000,500000,500000
Sohar,500000,500000,500000,500000,500000,500000
Sur,500000,500000,500000,500000,500000,500000
Thumrait,500000,500000,500000,500000,500000,500000
Al.Amerat,500000,500000,500000,500000,500000,500000
Al.Ghobra,500000,500000,500000,500000,500000,500000
Al.Khoud,500000,500000,500000,500000,500000,500000
Al.Mawaleh,500000,500000,500000,500000,500000,500000
Al.Mazounah,500000,500000,500000,500000,500000,500000
Al.Saadah,500000,500000,500000,500000,500000,500000
duqm,500000,500000,500000,500000,500000,500000
haima,500000,500000,500000,500000,500000,500000
Rusayl,500000,500000,500000,500000,500000,500000
Salalah,500000,500000,500000,500000,500000,500000
sinaw,500000,500000,500000,500000,500000,500000
Taqah,500000,500000,500000,500000,500000,500000
