Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
�?ódź,1000000,1000000,1000000,1000000,1000000,1000000
Świętokrzyskie,1000000,1000000,1000000,1000000,1000000,1000000
Greater Poland,1000000,1000000,1000000,1000000,1000000,1000000
Kuyavian-Pomeranian,1000000,1000000,1000000,1000000,1000000,1000000
Lesser Poland,1000000,1000000,1000000,1000000,1000000,1000000
Lower Silesian,1000000,1000000,1000000,1000000,1000000,1000000
Lublin,1000000,1000000,1000000,1000000,1000000,1000000
Lubusz,1000000,1000000,1000000,1000000,1000000,1000000
Masovian,1000000,1000000,1000000,1000000,1000000,1000000
Opole,1000000,1000000,1000000,1000000,1000000,1000000
Podlachian,1000000,1000000,1000000,1000000,1000000,1000000
Pomeranian,1000000,1000000,1000000,1000000,1000000,1000000
Silesian,1000000,1000000,1000000,1000000,1000000,1000000
Subcarpathian,1000000,1000000,1000000,1000000,1000000,1000000
Warmian-Masurian,1000000,1000000,1000000,1000000,1000000,1000000
West Pomeranian,1000000,1000000,1000000,1000000,1000000,1000000
