Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Alba,1000000,1000000,1000000,1000000,1000000,1000000
Arad,1000000,1000000,1000000,1000000,1000000,1000000
Argeș,1000000,1000000,1000000,1000000,1000000,1000000
Bacău,1000000,1000000,1000000,1000000,1000000,1000000
Bihor,1000000,1000000,1000000,1000000,1000000,1000000
Bistrița-Năsăud,1000000,1000000,1000000,1000000,1000000,1000000
Botoșani,1000000,1000000,1000000,1000000,1000000,1000000
Brașov,1000000,1000000,1000000,1000000,1000000,1000000
Brăila,1000000,1000000,1000000,1000000,1000000,1000000
Bucharest,1000000,1000000,1000000,1000000,1000000,1000000
Buzău,1000000,1000000,1000000,1000000,1000000,1000000
Călărași,1000000,1000000,1000000,1000000,1000000,1000000
Caraș-Severin,1000000,1000000,1000000,1000000,1000000,1000000
Cluj,1000000,1000000,1000000,1000000,1000000,1000000
Constanța,1000000,1000000,1000000,1000000,1000000,1000000
Covasna,1000000,1000000,1000000,1000000,1000000,1000000
Dâmbovița,1000000,1000000,1000000,1000000,1000000,1000000
Dolj,1000000,1000000,1000000,1000000,1000000,1000000
Galați,1000000,1000000,1000000,1000000,1000000,1000000
Giurgiu,1000000,1000000,1000000,1000000,1000000,1000000
Gorj,1000000,1000000,1000000,1000000,1000000,1000000
Harghita,1000000,1000000,1000000,1000000,1000000,1000000
Hunedoara,1000000,1000000,1000000,1000000,1000000,1000000
Iași,1000000,1000000,1000000,1000000,1000000,1000000
Ialomița,1000000,1000000,1000000,1000000,1000000,1000000
Ilfov,1000000,1000000,1000000,1000000,1000000,1000000
Maramureș,1000000,1000000,1000000,1000000,1000000,1000000
Mehedinți,1000000,1000000,1000000,1000000,1000000,1000000
Mureș,1000000,1000000,1000000,1000000,1000000,1000000
Neamț,1000000,1000000,1000000,1000000,1000000,1000000
Olt,1000000,1000000,1000000,1000000,1000000,1000000
Prahova,1000000,1000000,1000000,1000000,1000000,1000000
Sălaj,1000000,1000000,1000000,1000000,1000000,1000000
Satu Mare,1000000,1000000,1000000,1000000,1000000,1000000
Sibiu,1000000,1000000,1000000,1000000,1000000,1000000
Suceava,1000000,1000000,1000000,1000000,1000000,1000000
Teleorman,1000000,1000000,1000000,1000000,1000000,1000000
Timiș,1000000,1000000,1000000,1000000,1000000,1000000
Tulcea,1000000,1000000,1000000,1000000,1000000,1000000
Vâlcea,1000000,1000000,1000000,1000000,1000000,1000000
Vaslui,1000000,1000000,1000000,1000000,1000000,1000000
Vrancea,1000000,1000000,1000000,1000000,1000000,1000000
