Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Dakar,1000000,1000000,1000000,1000000,1000000,1000000
Diourbel,1000000,1000000,1000000,1000000,1000000,1000000
Fatick,1000000,1000000,1000000,1000000,1000000,1000000
Kaffrine,1000000,1000000,1000000,1000000,1000000,1000000
Kaolack,1000000,1000000,1000000,1000000,1000000,1000000
Kédougou,1000000,1000000,1000000,1000000,1000000,1000000
Kolda,1000000,1000000,1000000,1000000,1000000,1000000
Louga,1000000,1000000,1000000,1000000,1000000,1000000
Matam,1000000,1000000,1000000,1000000,1000000,1000000
Saint-Louis,1000000,1000000,1000000,1000000,1000000,1000000
Sédhiou,1000000,1000000,1000000,1000000,1000000,1000000
Tambacounda,1000000,1000000,1000000,1000000,1000000,1000000
Thiès,1000000,1000000,1000000,1000000,1000000,1000000
Ziguinchor,1000000,1000000,1000000,1000000,1000000,1000000
