Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Dakar,12458,1000000,5000,5000,1000000,0
Diourbel,1000000,1000000,5000,546,45124,0
Fatick,52323,5445547,3523,5000,352110,0
Kaffrine,1000000,963418,54645,5000,1000000,0
Kaolack,54454,1000000,6585,12589,1000000,0
Kédougou,3213,212,2313,5000,7891217,0
Kolda,1000000,1000000,32,5000,1000000,0
Louga,1000000,46589745,5000,5000,1000000,0
Matam,74125,1000000,5000,5000,1000000,0
Saint-Louis,1000000,1000000,5000,5000,1000000,0
Sédhiou,1000000,1000000,5000,5000,1000000,0
Tambacounda,1000000,1000000,5000,5000,1000000,0
Thiès,1000000,1000000,5000,5000,1000000,0
Ziguinchor,1000000,1000000,5000,5000,1000000,0
