Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Dakar,50000,50000,50000,50000,50000,50000
Diourbel,50000,50000,50000,50000,50000,50000
Fatick,50000,50000,50000,50000,50000,50000
Kaffrine,50000,50000,50000,50000,50000,50000
Kaolack,50000,50000,50000,50000,50000,50000
Kédougou,50000,50000,50000,50000,50000,50000
Kolda,50000,50000,50000,50000,50000,50000
Louga,50000,50000,50000,50000,50000,50000
Matam,50000,50000,50000,50000,50000,50000
Saint-Louis,50000,50000,50000,50000,50000,50000
Sédhiou,50000,50000,50000,50000,50000,50000
Tambacounda,50000,50000,50000,50000,50000,50000
Thiès,50000,50000,50000,50000,50000,50000
Ziguinchor,50000,50000,50000,50000,50000,50000
