Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Awdal,500000,500000,500000,500000,500000,500000
Bakool,500000,500000,500000,500000,500000,500000
Banaadir,500000,500000,500000,500000,500000,500000
Bari,500000,500000,500000,500000,500000,500000
Bay,500000,500000,500000,500000,500000,500000
Galguduud,500000,500000,500000,500000,500000,500000
Gedo,500000,500000,500000,500000,500000,500000
Hiiraan,500000,500000,500000,500000,500000,500000
Jubbada Dhexe,500000,500000,500000,500000,500000,500000
Jubbada Hoose,500000,500000,500000,500000,500000,500000
Mudug,500000,500000,500000,500000,500000,500000
Nugaal,500000,500000,500000,500000,500000,500000
Sanaag,500000,500000,500000,500000,500000,500000
Shabeellaha Dhexe,500000,500000,500000,500000,500000,500000
Shabeellaha Hoose,500000,500000,500000,500000,500000,500000
Sool,500000,500000,500000,500000,500000,500000
Togdheer,500000,500000,500000,500000,500000,500000
Woqooyi Galbeed,500000,500000,500000,500000,500000,500000
